Sexo;Provincias;Municipios;Edad (grupos quinquenales);Periodo;Total
Total;28 Madrid;28024 Braojos;De 85 a 89 años  ;1 de enero de 2021;6
Total;28 Madrid;28024 Braojos;De 90 a 94 años  ;1 de enero de 2021;5
Total;28 Madrid;28024 Braojos;De 95 a 99 años  ;1 de enero de 2021;0
Total;28 Madrid;28024 Braojos;100 y más años;1 de enero de 2021;0
Total;28 Madrid;28027 Buitrago del Lozoya;De 0 a 4 años;1 de enero de 2021;70
Total;28 Madrid;28027 Buitrago del Lozoya;De 5 a 9 años;1 de enero de 2021;116
Total;28 Madrid;28027 Buitrago del Lozoya;De 10 a 14 años  ;1 de enero de 2021;113
Total;28 Madrid;28027 Buitrago del Lozoya;De 15 a 19 años  ;1 de enero de 2021;121
Total;28 Madrid;28027 Buitrago del Lozoya;De 20 a 24 años;1 de enero de 2021;106
Total;28 Madrid;28027 Buitrago del Lozoya;De 25 a 29 años;1 de enero de 2021;101
Total;28 Madrid;28027 Buitrago del Lozoya;De 30 a 34 años;1 de enero de 2021;110
Total;28 Madrid;28027 Buitrago del Lozoya;De 35 a 39 años;1 de enero de 2021;124
Total;28 Madrid;28027 Buitrago del Lozoya;De 40 a 44 años;1 de enero de 2021;152
Total;28 Madrid;28027 Buitrago del Lozoya;De 45 a 49 años;1 de enero de 2021;166
Total;28 Madrid;28027 Buitrago del Lozoya;De 50 a 54 años;1 de enero de 2021;153
Total;28 Madrid;28027 Buitrago del Lozoya;De 55 a 59 años;1 de enero de 2021;131
Total;28 Madrid;28027 Buitrago del Lozoya;De 60 a 64 años;1 de enero de 2021;106
Total;28 Madrid;28027 Buitrago del Lozoya;De 65 a 69 años;1 de enero de 2021;88
Total;28 Madrid;28027 Buitrago del Lozoya;De 70 a 74 años  ;1 de enero de 2021;72
Total;28 Madrid;28027 Buitrago del Lozoya;De 75 a 79 años  ;1 de enero de 2021;54
Total;28 Madrid;28027 Buitrago del Lozoya;De 80 a 84 años  ;1 de enero de 2021;67
Total;28 Madrid;28027 Buitrago del Lozoya;De 85 a 89 años  ;1 de enero de 2021;41
Total;28 Madrid;28027 Buitrago del Lozoya;De 90 a 94 años  ;1 de enero de 2021;32
Total;28 Madrid;28027 Buitrago del Lozoya;De 95 a 99 años  ;1 de enero de 2021;15
Total;28 Madrid;28027 Buitrago del Lozoya;100 y más años;1 de enero de 2021;2
